mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.65,2.0,0.0,0.0,0.0,0.0,1.939,2.06,0.0,H4,0.0
2.65,2.0,0.3,0.0,0.0,0.0,1.939,2.06,0.0,H4,0.0
2.65,2.0,0.8,0.0,0.038,0.038,1.939,2.06,0.0,H4,0.0
2.7,1.2,-0.3,0.02,0.015,0.035,1.465,1.617,0.0,H4,0.0
2.7,1.2,0.0,0.027,0.03,0.057,1.465,1.617,0.0,H4,0.0
2.7,1.2,0.3,0.034,0.05,0.085,1.465,1.617,0.0,H4,0.0
2.7,1.2,0.8,0.049,0.105,0.155,1.465,1.617,0.0,H4,0.0
2.7,1.4,-0.3,0.0,0.004,0.004,1.603,1.745,0.0,H4,0.0
2.7,1.4,0.0,0.007,0.017,0.023,1.603,1.745,0.0,H4,0.0
2.7,1.4,0.3,0.013,0.038,0.051,1.603,1.745,0.0,H4,0.0
2.7,1.4,0.8,0.027,0.102,0.129,1.603,1.745,0.0,H4,0.0
2.7,1.6,-0.3,0.0,0.0,0.0,1.729,1.863,0.0,H4,0.0
2.7,1.6,0.0,0.0,0.004,0.004,1.729,1.863,0.0,H4,0.0
2.7,1.6,0.3,0.0,0.022,0.022,1.729,1.863,0.0,H4,0.0
2.7,1.6,0.8,0.008,0.091,0.099,1.729,1.863,0.0,H4,0.0
2.7,1.8,-0.3,0.0,0.0,0.0,1.847,1.974,0.0,H4,0.0
2.7,1.8,0.0,0.0,0.0,0.0,1.847,1.974,0.0,H4,0.0
2.7,1.8,0.3,0.0,0.005,0.005,1.847,1.974,0.0,H4,0.0
2.7,1.8,0.8,0.0,0.072,0.072,1.847,1.974,0.0,H4,0.0
2.7,2.0,-0.3,0.0,0.0,0.0,1.957,2.079,0.0,H4,0.0
2.7,2.0,0.0,0.0,0.0,0.0,1.957,2.079,0.0,H4,0.0
2.7,2.0,0.3,0.0,0.0,0.0,1.957,2.079,0.0,H4,0.0
2.7,2.0,0.8,0.0,0.038,0.038,1.957,2.079,0.0,H4,0.0
2.75,1.2,-0.3,0.02,0.015,0.035,1.478,1.63,0.0,H4,0.0
2.75,1.2,0.0,0.027,0.029,0.056,1.478,1.63,0.0,H4,0.0
2.75,1.2,0.3,0.035,0.05,0.085,1.478,1.63,0.0,H4,0.0
2.75,1.2,0.8,0.05,0.105,0.155,1.478,1.63,0.0,H4,0.0
2.75,1.4,-0.3,0.0,0.004,0.004,1.617,1.76,0.0,H4,0.0
2.75,1.4,0.0,0.007,0.016,0.023,1.617,1.76,0.0,H4,0.0
2.75,1.4,0.3,0.014,0.037,0.051,1.617,1.76,0.0,H4,0.0
2.75,1.4,0.8,0.028,0.101,0.13,1.617,1.76,0.0,H4,0.0
2.75,1.6,-0.3,0.0,0.0,0.0,1.745,1.88,0.0,H4,0.0
2.75,1.6,0.0,0.0,0.004,0.004,1.745,1.88,0.0,H4,0.0
2.75,1.6,0.3,0.0,0.021,0.021,1.745,1.88,0.0,H4,0.0
2.75,1.6,0.8,0.008,0.091,0.099,1.745,1.88,0.0,H4,0.0
2.75,1.8,-0.3,0.0,0.0,0.0,1.863,1.992,0.0,H4,0.0
2.75,1.8,0.0,0.0,0.0,0.0,1.863,1.992,0.0,H4,0.0
2.75,1.8,0.3,0.0,0.005,0.005,1.863,1.992,0.0,H4,0.0
2.75,1.8,0.8,0.0,0.072,0.072,1.863,1.992,0.0,H4,0.0
2.75,2.0,-0.3,0.0,0.0,0.0,1.974,2.097,0.0,H4,0.0
2.75,2.0,0.0,0.0,0.0,0.0,1.974,2.097,0.0,H4,0.0
2.75,2.0,0.3,0.0,0.0,0.0,1.974,2.097,0.0,H4,0.0
2.75,2.0,0.8,0.0,0.038,0.038,1.974,2.097,0.0,H4,0.0
2.8,1.2,-0.3,0.02,0.014,0.034,1.49,1.644,0.0,H4,0.0
2.8,1.2,0.0,0.027,0.029,0.056,1.49,1.644,0.0,H4,0.0
2.8,1.2,0.3,0.035,0.049,0.084,1.49,1.644,0.0,H4,0.0
2.8,1.2,0.8,0.051,0.104,0.155,1.49,1.644,0.0,H4,0.0
2.8,1.4,-0.3,0.0,0.004,0.004,1.63,1.774,0.0,H4,0.0
2.8,1.4,0.0,0.007,0.016,0.023,1.63,1.774,0.0,H4,0.0
2.8,1.4,0.3,0.014,0.037,0.051,1.63,1.774,0.0,H4,0.0
2.8,1.4,0.8,0.029,0.101,0.13,1.63,1.774,0.0,H4,0.0
2.8,1.6,-0.3,0.0,0.0,0.0,1.76,1.896,0.0,H4,0.0
2.8,1.6,0.0,0.0,0.003,0.003,1.76,1.896,0.0,H4,0.0
2.8,1.6,0.3,0.0,0.021,0.021,1.76,1.896,0.0,H4,0.0
2.8,1.6,0.8,0.009,0.09,0.099,1.76,1.896,0.0,H4,0.0
2.8,1.8,-0.3,0.0,0.0,0.0,1.88,2.009,0.0,H4,0.0
2.8,1.8,0.0,0.0,0.0,0.0,1.88,2.009,0.0,H4,0.0
2.8,1.8,0.3,0.0,0.005,0.005,1.88,2.009,0.0,H4,0.0
2.8,1.8,0.8,0.0,0.071,0.071,1.88,2.009,0.0,H4,0.0
2.8,2.0,-0.3,0.0,0.0,0.0,1.992,2.116,0.0,H4,0.0
2.8,2.0,0.0,0.0,0.0,0.0,1.992,2.116,0.0,H4,0.0
2.8,2.0,0.3,0.0,0.0,0.0,1.992,2.116,0.0,H4,0.0
2.8,2.0,0.8,0.0,0.037,0.037,1.992,2.116,0.0,H4,0.0
2.85,1.2,-0.3,0.02,0.014,0.034,1.502,1.657,0.0,H4,0.0
2.85,1.2,0.0,0.028,0.028,0.056,1.502,1.657,0.0,H4,0.0
2.85,1.2,0.3,0.036,0.048,0.084,1.502,1.657,0.0,H4,0.0
2.85,1.2,0.8,0.052,0.103,0.156,1.502,1.657,0.0,H4,0.0
2.85,1.4,-0.3,0.0,0.003,0.003,1.644,1.789,0.0,H4,0.0
2.85,1.4,0.0,0.007,0.015,0.022,1.644,1.789,0.0,H4,0.0
2.85,1.4,0.3,0.015,0.036,0.051,1.644,1.789,0.0,H4,0.0
2.85,1.4,0.8,0.03,0.1,0.13,1.644,1.789,0.0,H4,0.0
2.85,1.6,-0.3,0.0,0.0,0.0,1.774,1.911,0.0,H4,0.0
2.85,1.6,0.0,0.0,0.003,0.003,1.774,1.911,0.0,H4,0.0
2.85,1.6,0.3,0.0,0.02,0.02,1.774,1.911,0.0,H4,0.0
2.85,1.6,0.8,0.009,0.09,0.099,1.774,1.911,0.0,H4,0.0
2.85,1.8,-0.3,0.0,0.0,0.0,1.896,2.026,0.0,H4,0.0
2.85,1.8,0.0,0.0,0.0,0.0,1.896,2.026,0.0,H4,0.0
2.85,1.8,0.3,0.0,0.004,0.004,1.896,2.026,0.0,H4,0.0
2.85,1.8,0.8,0.0,0.071,0.071,1.896,2.026,0.0,H4,0.0
